Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2016-05-31,81.58,81.82,80.74,81.04,6705032.0,0.0,1.0,72.704199626169,72.918087931027,71.955590559167,72.222950940239,6705032.0
2016-05-27,81.27,81.66,81.16,81.43,4322195.0,0.0,1.0,72.427927232395,72.775495727788,72.329895092668,72.570519435633,4322195.0
2016-05-26,81.48,81.6,81.09,81.22,4622328.0,0.0,1.0,72.615079499145,72.722023651574,72.267511003751,72.383367168883,4622328.0
2016-05-25,81.08,81.7801,81.01,81.48,6050617.0,0.0,1.0,72.258598991049,72.882529000344,72.196214902132,72.615079499145,6050617.0
2016-05-24,80.3,81.38,80.3,80.97,6292952.0,0.0,1.0,71.563462000262,72.525959372121,71.563462000262,72.160566851323,6292952.0
2016-05-23,80.05,80.33,79.85,80.2,5620560.0,0.0,1.0,71.340661682702,71.590198038369,71.162421428654,71.474341873238,5620560.0
2016-05-20,80.44,80.5,79.7901,80.02,6526795.0,0.0,1.0,71.688230178096,71.74170225431,71.109038472567,71.313925644595,6526795.0
2016-05-19,79.64,80.225,79.45,80.19,6242522.0,0.0,1.0,70.975269161904,71.496621904994,70.805940920558,71.465429860536,6242522.0
2016-05-18,80.59,80.77,79.413,79.85,8344069.0,0.0,1.0,71.821910368632,71.982326597275,70.772966473559,71.162421428654,8344069.0
2016-05-17,81.64,82.06,80.325,80.62,10188233.0,0.0,1.0,72.757671702383,73.131976235884,71.585742032018,71.848646406739,10188233.0
2016-05-16,81.01,81.89,80.75,81.63,6497236.0,0.0,1.0,72.196214902132,72.980472019943,71.96450257187,72.748759689681,6497236.0
2016-05-13,82.42,82.42,81.0,81.23,6578134.0,0.0,1.0,73.45280869317,73.45280869317,72.18730288943,72.392279181585,6578134.0
2016-05-12,82.48,82.74,82.11,82.41,4925007.0,0.0,1.0,73.506280769385,73.737993099647,73.176536299396,73.443896680468,4925007.0
2016-05-11,82.5,82.885,82.13,82.15,5974299.0,0.0,1.0,73.52410479479,73.867217283832,73.194360324801,73.212184350206,5974299.0
2016-05-10,82.15,82.6799,82.12,82.48,6223160.0,0.0,1.0,73.212184350206,73.684431903306,73.185448312099,73.506280769385,6223160.0
2016-05-09,82.21,82.73,81.965,82.12,6718565.0,0.0,1.0,73.26565642642,73.729081086945,73.047312115211,73.185448312099,6718565.0
2016-05-06,81.42,82.25,81.17,82.13,6297747.0,0.0,1.0,72.561607422931,73.30130447723,72.338807105371,73.194360324801,6297747.0
2016-05-05,81.6,82.09,80.92,81.3,6399874.0,0.0,1.0,72.722023651574,73.158712273991,72.116006787811,72.454663270502,6399874.0
2016-05-04,80.87,81.77,80.87,81.6,7365495.0,0.0,1.0,72.071446724299,72.873527867515,72.071446724299,72.722023651574,7365495.0
